iter	Passed	Remaining
0	0	63
1	1	54
2	1	49
3	1	44
4	2	43
5	2	45
6	3	44
7	3	43
8	4	42
9	4	42
10	5	41
11	5	41
12	6	41
13	6	40
14	7	39
15	7	38
16	7	38
17	8	37
18	8	37
19	9	36
20	9	36
21	10	35
22	10	35
23	11	36
24	11	35
25	12	34
26	12	34
27	13	33
28	13	33
29	14	32
30	14	32
31	14	31
32	15	31
33	15	30
34	16	30
35	16	29
36	17	29
37	17	28
38	18	28
39	18	27
40	18	27
41	19	26
42	19	25
43	19	25
44	20	24
45	20	24
46	21	23
47	21	23
48	22	22
49	22	22
50	22	21
51	23	21
52	23	21
53	24	20
54	24	20
55	24	19
56	25	19
57	25	18
58	26	18
59	26	17
60	26	17
61	27	16
62	27	16
63	28	15
64	28	15
65	29	15
66	29	14
67	30	14
68	30	13
69	30	13
70	31	12
71	31	12
72	32	11
73	32	11
74	33	11
75	33	10
76	33	10
77	34	9
78	34	9
79	35	8
80	35	8
81	36	7
82	36	7
83	37	7
84	37	6
85	37	6
86	38	5
87	38	5
88	39	4
89	39	4
90	40	3
91	40	3
92	40	3
93	41	2
94	41	2
95	42	1
96	42	1
97	43	0
98	43	0
99	43	0
