iter	Passed	Remaining
0	111	111728
1	113	56509
2	114	37904
3	115	28688
4	116	23099
5	121	20199
6	123	17465
7	124	15400
8	125	13764
9	125	12447
10	126	11389
11	127	10500
12	133	10172
13	134	9504
14	137	9036
15	138	8528
16	141	8193
17	145	7959
18	148	7641
19	149	7304
20	150	7001
21	151	6730
22	152	6482
23	154	6272
24	157	6154
25	158	5938
26	161	5826
27	162	5650
28	163	5484
29	167	5404
30	167	5249
31	168	5100
32	169	4961
33	172	4900
34	173	4791
35	174	4673
36	175	4560
37	175	4452
38	177	4385
39	180	4333
40	181	4245
41	182	4158
42	184	4095
43	184	4016
44	185	3938
45	186	3865
46	187	3794
47	187	3726
48	190	3694
49	191	3643
50	192	3585
51	193	3527
52	194	3468
53	196	3436
54	197	3386
55	197	3334
56	198	3284
57	199	3237
58	202	3228
59	203	3195
60	204	3153
61	205	3109
62	206	3066
63	206	3024
64	208	3000
65	209	2969
66	211	2940
67	211	2904
68	213	2885
69	214	2852
70	215	2818
71	216	2786
72	216	2754
73	217	2723
74	221	2728
75	222	2705
76	223	2676
77	223	2646
78	224	2616
79	225	2591
80	226	2574
81	227	2552
82	228	2522
83	229	2497
84	229	2473
85	230	2448
86	231	2424
87	232	2408
88	233	2388
89	234	2367
90	234	2346
91	235	2325
92	236	2310
93	238	2294
94	239	2279
95	240	2261
96	240	2242
97	241	2223
98	242	2204
99	242	2186
100	243	2168
101	245	2158
102	246	2143
103	246	2126
104	247	2110
105	248	2094
106	248	2077
107	249	2061
108	250	2044
109	251	2033
110	252	2020
111	253	2006
112	253	1991
113	254	1976
114	254	1962
115	255	1948
116	256	1933
117	256	1919
118	257	1909
119	258	1897
120	259	1883
121	259	1869
122	260	1856
123	260	1843
124	261	1830
125	261	1817
126	262	1803
127	262	1791
128	264	1785
129	265	1775
130	266	1764
131	266	1753
132	267	1742
133	267	1731
134	268	1720
135	269	1709
136	270	1702
137	271	1695
138	272	1685
139	272	1674
140	273	1664
141	273	1652
142	274	1642
143	274	1632
144	275	1622
145	276	1614
146	277	1608
147	278	1601
148	278	1592
149	279	1584
150	280	1576
151	281	1568
152	281	1559
153	282	1551
154	283	1546
155	284	1538
156	285	1530
157	285	1521
158	286	1513
159	286	1505
160	287	1496
161	287	1487
162	288	1479
163	289	1475
164	290	1469
165	291	1462
166	291	1454
167	292	1446
168	292	1439
169	293	1432
170	293	1424
171	294	1417
172	295	1412
173	296	1407
174	297	1401
175	298	1395
176	298	1388
177	299	1382
178	300	1377
179	301	1373
180	303	1371
181	304	1366
182	305	1361
183	305	1355
184	306	1349
185	306	1342
186	307	1338
187	309	1337
188	310	1331
189	311	1325
190	311	1320
191	312	1314
192	312	1308
193	313	1302
194	315	1300
195	316	1296
196	316	1290
197	317	1284
198	317	1278
199	318	1273
200	318	1267
201	319	1261
202	319	1256
203	321	1254
204	322	1251
205	323	1247
206	324	1241
207	324	1236
208	325	1231
209	325	1225
210	326	1220
211	327	1218
212	328	1214
213	329	1210
214	330	1205
215	330	1200
216	331	1196
217	332	1191
218	332	1186
219	333	1182
220	334	1179
221	335	1176
222	336	1171
223	337	1167
224	337	1163
225	338	1159
226	339	1154
227	340	1152
228	341	1149
229	341	1144
230	342	1140
231	343	1135
232	343	1131
233	344	1126
234	344	1122
235	345	1117
236	346	1114
237	347	1111
238	347	1107
239	348	1103
240	348	1098
241	349	1094
242	349	1090
243	350	1086
244	351	1081
245	351	1077
246	352	1075
247	353	1072
248	354	1069
249	355	1065
250	355	1061
251	356	1057
252	356	1053
253	357	1049
254	357	1045
255	358	1042
256	359	1040
257	360	1037
258	361	1033
259	361	1029
260	362	1025
261	362	1022
262	363	1018
263	363	1014
264	364	1010
265	365	1009
266	366	1006
267	367	1003
268	368	1000
269	369	997
270	369	994
271	370	991
272	370	987
273	372	986
274	373	983
275	373	980
276	374	977
277	374	973
278	375	970
279	376	966
280	376	963
281	377	960
282	378	960
283	380	958
284	380	955
285	381	952
286	382	949
287	383	947
288	383	944
289	385	944
290	386	942
291	387	939
292	388	936
293	388	933
294	389	930
295	389	926
296	391	925
297	391	923
298	392	920
299	393	917
300	393	914
301	394	911
302	394	908
303	395	905
304	396	902
305	397	901
306	398	898
307	399	896
308	399	893
309	400	890
310	400	887
311	401	884
312	401	881
313	402	879
314	403	877
315	404	875
316	405	873
317	405	870
318	406	867
319	406	864
320	407	861
321	408	859
322	408	856
323	409	854
324	410	852
325	411	851
326	412	848
327	412	845
328	413	843
329	413	840
330	414	837
331	415	835
332	415	833
333	416	831
334	417	829
335	418	826
336	418	824
337	419	821
338	419	818
339	420	816
340	421	813
341	421	811
342	422	809
343	423	807
344	424	805
345	424	803
346	425	800
347	426	798
348	426	795
349	427	793
350	427	790
351	429	790
352	430	788
353	430	786
354	431	784
355	432	781
356	432	779
357	433	777
358	434	775
359	435	773
360	436	772
361	436	770
362	437	767
363	438	765
364	438	763
365	439	760
366	439	758
367	440	756
368	441	755
369	442	753
370	443	751
371	443	749
372	444	747
373	444	744
374	445	742
375	446	740
376	446	737
377	447	736
378	448	734
379	449	733
380	449	730
381	450	728
382	451	726
383	451	724
384	452	722
385	452	720
386	453	717
387	454	717
388	455	715
389	456	713
390	456	711
391	457	709
392	457	707
393	458	704
394	458	702
395	459	700
396	460	699
397	461	698
398	462	696
399	462	694
400	463	692
401	464	690
402	464	688
403	465	686
404	465	684
405	467	683
406	468	682
407	469	681
408	471	680
409	471	679
410	474	680
411	475	678
412	476	677
413	476	675
414	477	673
415	478	671
416	478	669
417	481	671
418	482	669
419	483	667
420	484	666
421	485	664
422	486	663
423	487	662
424	488	660
425	488	658
426	489	656
427	489	654
428	493	656
429	493	654
430	494	652
431	495	651
432	495	649
433	496	647
434	499	648
435	500	647
436	501	646
437	504	647
438	507	648
439	513	653
440	514	651
441	514	649
442	515	648
443	518	649
444	519	647
445	520	646
446	520	644
447	521	642
448	522	640
449	524	640
450	524	639
451	525	637
452	526	635
453	526	633
454	527	631
455	528	631
456	529	629
457	530	627
458	531	626
459	532	625
460	535	626
461	536	624
462	537	623
463	538	621
464	538	620
465	540	618
466	542	618
467	542	617
468	543	615
469	544	613
470	545	612
471	546	611
472	548	611
473	549	609
474	549	607
475	550	606
476	551	604
477	552	603
478	554	602
479	554	600
480	555	599
481	556	597
482	557	596
483	557	594
484	559	593
485	560	593
486	561	591
487	563	590
488	563	589
489	566	589
490	568	589
491	571	590
492	572	588
493	574	588
494	574	586
495	575	584
496	578	585
497	579	584
498	581	583
499	584	584
500	585	582
501	585	581
502	586	579
503	587	578
504	589	577
505	591	577
506	592	576
507	594	575
508	595	574
509	596	573
510	597	571
511	598	570
512	598	568
513	599	567
514	603	568
515	604	566
516	605	566
517	607	564
518	607	563
519	608	561
520	609	560
521	612	561
522	614	560
523	619	562
524	620	561
525	621	560
526	622	558
527	624	558
528	625	556
529	626	555
530	627	554
531	630	554
532	632	554
533	633	553
534	635	552
535	636	551
536	637	549
537	638	548
538	639	546
539	645	549
540	647	549
541	649	548
542	649	547
543	650	545
544	651	543
545	652	542
546	656	543
547	658	543
548	663	545
549	664	543
550	665	542
551	668	542
552	669	541
553	670	539
554	674	540
555	676	539
556	677	538
557	677	536
558	678	535
559	681	535
560	682	534
561	685	534
562	687	534
563	688	532
564	689	530
565	690	529
566	692	528
567	693	527
568	694	525
569	696	525
570	697	523
571	699	523
572	700	521
573	700	520
574	701	518
575	702	517
576	703	515
577	705	514
578	707	514
579	708	513
580	709	511
581	711	510
582	712	509
583	713	508
584	713	506
585	715	505
586	715	503
587	718	503
588	719	502
589	720	500
590	720	498
591	721	497
592	722	495
593	722	493
594	724	492
595	725	491
596	726	490
597	726	488
598	727	487
599	728	485
600	730	484
601	730	483
602	731	481
603	732	480
604	733	478
605	734	477
606	737	477
607	738	476
608	739	474
609	740	473
610	741	471
611	742	470
612	748	472
613	749	470
614	749	469
615	750	467
616	751	466
617	752	464
618	753	463
619	755	462
620	757	462
621	758	460
622	759	459
623	761	458
624	762	457
625	763	455
626	763	454
627	764	452
628	765	451
629	765	449
630	770	450
631	771	448
632	771	447
633	773	446
634	774	445
635	774	443
636	777	443
637	778	441
638	780	440
639	780	439
640	781	437
641	782	436
642	783	434
643	783	433
644	784	431
645	786	431
646	787	429
647	789	428
648	790	427
649	792	426
650	793	425
651	793	423
652	794	422
653	795	420
654	795	419
655	796	417
656	802	418
657	802	417
658	803	415
659	804	414
660	805	413
661	806	411
662	808	411
663	810	409
664	811	408
665	812	407
666	813	406
667	814	404
668	814	403
669	815	401
670	818	401
671	820	400
672	820	398
673	821	397
674	823	396
675	824	395
676	826	394
677	827	393
678	830	392
679	831	391
680	832	389
681	832	388
682	833	386
683	834	385
684	836	384
685	838	383
686	839	382
687	840	381
688	841	379
689	842	378
690	843	377
691	844	375
692	844	374
693	845	372
694	850	373
695	851	371
696	851	370
697	852	368
698	854	367
699	855	366
700	855	365
701	858	364
702	859	363
703	861	362
704	862	360
705	863	359
706	864	358
707	864	356
708	865	355
709	867	354
710	869	353
711	870	352
712	871	350
713	872	349
714	874	348
715	875	347
716	876	345
717	877	344
718	878	343
719	880	342
720	882	341
721	883	340
722	884	338
723	886	338
724	887	336
725	890	335
726	891	334
727	892	333
728	893	332
729	894	330
730	895	329
731	895	327
732	896	326
733	898	325
734	900	324
735	901	323
736	902	322
737	904	321
738	905	319
739	906	318
740	906	316
741	907	315
742	908	314
743	911	313
744	912	312
745	913	310
746	914	309
747	915	308
748	917	307
749	918	306
750	920	305
751	920	303
752	921	302
753	922	300
754	923	299
755	923	298
756	924	296
757	928	296
758	929	295
759	930	293
760	931	292
761	932	291
762	933	289
763	934	288
764	935	287
765	936	286
766	940	285
767	941	284
768	942	283
769	942	281
770	944	280
771	945	279
772	947	278
773	948	277
774	949	275
775	951	274
776	951	273
777	952	271
778	953	270
779	954	269
780	954	267
781	959	267
782	960	266
783	961	264
784	962	263
785	963	262
786	964	261
787	965	259
788	966	258
789	968	257
790	969	256
791	970	254
792	971	253
793	972	252
794	973	250
795	974	249
796	974	248
797	977	247
798	978	246
799	980	245
800	980	243
801	981	242
802	983	241
803	984	239
804	985	238
805	985	237
806	992	237
807	994	236
808	996	235
809	998	234
810	1001	233
811	1003	232
812	1004	231
813	1005	229
814	1008	229
815	1010	227
816	1014	227
817	1016	226
818	1017	224
819	1018	223
820	1023	223
821	1024	221
822	1025	220
823	1028	219
824	1029	218
825	1031	217
826	1035	216
827	1038	215
828	1042	214
829	1043	213
830	1047	212
831	1048	211
832	1049	210
833	1050	209
834	1054	208
835	1055	207
836	1056	205
837	1058	204
838	1059	203
839	1060	201
840	1066	201
841	1067	200
842	1070	199
843	1071	198
844	1072	196
845	1078	196
846	1080	195
847	1081	193
848	1083	192
849	1084	191
850	1091	191
851	1092	189
852	1093	188
853	1094	187
854	1096	185
855	1104	185
856	1111	185
857	1112	184
858	1115	183
859	1117	181
860	1119	180
861	1121	179
862	1122	178
863	1124	176
864	1126	175
865	1130	174
866	1134	174
867	1135	172
868	1136	171
869	1137	169
870	1138	168
871	1139	167
872	1140	165
873	1142	164
874	1143	163
875	1145	162
876	1146	160
877	1147	159
878	1148	158
879	1148	156
880	1150	155
881	1151	154
882	1152	152
883	1154	151
884	1155	150
885	1159	149
886	1160	147
